date,modeled_baseline_payout,modeled_adjusted_payout,insurance_net_isk
2018-01-01,208126649262.45,202939987544.495,134201653181
2018-01-02,89513195858.63,84134019122.616,91456895703
2018-01-03,122536530727.26,117442672583.259,135366795567
2018-01-04,123233836444.18,117728378713.073,105210320860
2018-01-05,106067343509.84,101323825013.92,313958111614
2018-01-06,119530245250.17,113783149731.835,93650795041
2018-01-07,128782860021.73,123022039721.831,115660344689
2018-01-08,88130740008.07,82306259875.576,116012573270
2018-01-09,88939198082.08,83118498493.141,178105485691
2018-01-10,109029141645.98,104382556135.296,98300975198
2018-01-11,134149879806.99,129025827715.58,118784617685
2018-01-12,103979308479.26,98384179020.993,94255371257
2018-01-13,123362726741.32,117966186050.768,133687581389
2018-01-14,160049352724.5,154070852804.472,140599966887
2018-01-15,127144005921.65,121709657977.661,63950223940
2018-01-16,173133457390.09,167241223902.079,-287821638779
2018-01-17,208635799777.15,203314188231.67,141360767529
2018-01-18,103280147592.49,101083745358.376,87490788886
2018-01-19,144306586847.99,137493876497.03,100983119228
2018-01-20,162793171530.1,157025247135.077,170425200627
2018-01-21,132817238670.85,127617273720.697,162709404456
2018-01-22,145369286720.22,139965506960.374,70714679765
2018-01-23,107911182646.11,101590430195.295,-208465182421
2018-01-24,151122966650.29,144637213302.239,111583287541
2018-01-25,133773311889.86,129009040517.919,87297607628
2018-01-26,106561755863.36,101490889035.649,140143840032
2018-01-27,106240812178.8,101116052027.665,150739770085
2018-01-28,132788141120.34,128124984701.14,112394119239
2018-01-29,104286985735.15,98954336077.15,83534367325
2018-01-30,112177329949.35,106705423580.177,109728673599
2018-01-31,129628505366.62,124000010234.02,111708581400
2018-02-01,124040870558.43,118963124954.241,106928505176
2018-02-02,132444907529.07,127230902152.292,101842810661
2018-02-03,177676919199.22,172592373986.966,149547094565
2018-02-04,161838608047.5,156608366718.186,139688138455
2018-02-05,112172227705.29,106793274689.633,54643954423
2018-02-06,367721161039.1,362415678424.211,171788598010
2018-02-07,121397223560.23,116746091205.738,127453351107
2018-02-08,101366845632.14,96506812566.276,95742867266
2018-02-09,103782482782.21,98915046383.1755,80831421381
2018-02-10,236168912542.82,230886133637.372,217434056165
2018-02-11,167163380319.94,162343975445.098,158795005514
2018-02-12,115764124593.92,111599500088.594,111347816602
2018-02-13,110388369139.28,107634405059.371,111072131216
2018-02-14,121215522060.73,117851773333.679,98064005534
2018-02-15,97833169845.4,94007402583.7285,108259566965
2018-02-16,161724970376.25,157167933071.151,109026628388
2018-02-17,179909875398.8,175119051494.886,233991694556
2018-02-18,146150560265.13,141951052320.685,158136352581
2018-02-19,126781428799.95,122028985038.125,113234398227
2018-02-20,169837290883.46,165290036028.73,245161848803
2018-02-21,164152076029.08,160916706396.203,90234622345
2018-02-22,120892950530.78,116356655559.195,115890488623
2018-02-23,180917920414.18,176390661344.364,115803551786
2018-02-24,274265169030.54,245756353585.983,156643183790
2018-02-25,149616345019.76,144231918819.712,179399128372
2018-02-26,156116574457.67,152306264978.116,71125911560
2018-02-27,206304697935.64,200425077353.934,81389929362
2018-02-28,128728507116.33,123850265727.943,93603218828
2018-03-01,149468912930.44,143697702441.834,80696402458
2018-03-02,150549103916.57,120791634786.319,177021801816
2018-03-03,244624220568.59,239333801296.515,241091450088
2018-03-04,212251190005.88,207134962905.602,172877482139
2018-03-05,182363361252.76,176286242209.16,175127442588
2018-03-06,146959975357,141816183013.532,96857720318
2018-03-07,135460950042.5,130877845466.934,66742574896
2018-03-08,107213400433.89,101298076744.873,115156032917
2018-03-09,136240787946.87,130270447283.789,102280578795
2018-03-10,262106031399.7,235358196632.328,169039022964
2018-03-11,155534403265.97,149181695811.251,120005936443
2018-03-12,127136379711.8,120494900209.248,93679950382
2018-03-13,118453414117.41,113741034826.257,71902687869
2018-03-14,107666021376.38,104101279421.963,116824360655
2018-03-15,124462160057.13,117749210472.512,73918966590
2018-03-16,123217796320.45,117686174667.501,77334375674
2018-03-17,242893358869.75,236853261693.535,242248025179
2018-03-18,174302697422.4,168828429058.173,287654369235
2018-03-19,108396861723.9,102786030977.335,86584190022
2018-03-20,128583894246.02,122937538225.999,71416798217
2018-03-21,141211303880.46,135096066966.011,115683913241
2018-03-22,109836525144.87,103409057500.802,74163915544
2018-03-23,135814437289.87,129596064442.485,70508780199
2018-03-24,250892744433.62,245500419081.088,308680513549
2018-03-25,201933490201.87,196328814343.207,480499602933
2018-03-26,127399982524.66,121588352293.227,102779456950
2018-03-27,85512198826.36,81147561695.514,84037061921
2018-03-28,155027385871.61,148394151937.997,105328041508
2018-03-29,162403205383.67,156842564468.267,112372482333
2018-03-30,126379581233.4,119804788044.628,400809472876
2018-03-31,218895652396.28,212106687999.634,167947863373
2018-04-01,247062907957.68,241144389727.051,139707550821
2018-04-02,140339298019.91,135063131840.218,81082536597
2018-04-03,108904159231.17,104050773775.164,70472922761
2018-04-04,142653638847.11,137597143678.673,91926614067
2018-04-05,108906783983.45,104526327324.657,120256410958
2018-04-06,132238751814.19,126410688732.388,83193304778
2018-04-07,190883687695.29,186627547177.353,133936667694
2018-04-08,135685954852.17,131070803558.457,158058752195
2018-04-09,179679318815.41,175180343233.072,79329037785
2018-04-10,76789065768.63,71231789468.5425,81588289878
2018-04-11,95740992725.12,91254164227.8365,91772639337
2018-04-12,161879331277.38,156084760101.78,100929119165
2018-04-13,101664464398.08,96977056722.711,51743921477
2018-04-14,143294158566.15,137942221034.253,147786028933
2018-04-15,229713390328.59,225378736678.966,227187572411
2018-04-16,175318008812.67,170804222996.319,121640805337
2018-04-17,132711444566.62,129243833952.827,87554422371
2018-04-18,214429685697.78,209712450100.616,97266774954
2018-04-19,147040755443.72,142116737601.762,95989121468
2018-04-20,362646583100.56,357153173528.788,122091853429
2018-04-21,152067257071.94,145954013565.327,217732329282
2018-04-22,183868710923.78,178389818112.521,262419470002
2018-04-23,381295306791.08,375909757963.341,92219686962
2018-04-24,405845457522.55,375018846335.177,98541094357
2018-04-25,223497943713.04,193706301741.443,110770702175
